id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38844153,"Rymlig 1,5 rum lägenhet - nära till ALLT",297398800,Linda,,Enskede-Årsta-Vantörs,59.29099,18.06878,Entire home/apt,900,3,3,2021-08-30,0.21,1,0,0,
38901053,Separat lägenhet i attraktiv villa,297138011,Henrik,,Enskede-Årsta-Vantörs,59.2549,18.0158,Entire home/apt,1202,3,33,2022-09-02,0.93,1,364,13,
38945860,Two-room flat  - 20 min by metro from the City,29562285,Tania,,Bromma,59.33639,17.97043,Entire home/apt,550,2,4,2019-11-10,0.11,1,0,0,
38958983,King size bed in cozy townhouse with 2 rooms,153253219,Jonas,,Hässelby-Vällingby,59.37716,17.8409,Private room,600,2,15,2022-06-23,0.42,3,275,2,
38979203,Quiet two single bed room in cozy townhouse,153253219,Jonas,,Hässelby-Vällingby,59.37868,17.83882,Private room,450,2,13,2022-08-08,0.40,3,252,8,
38983300,Beautiful room w balcony,28980900,Annika,,Södermalms,59.30273,18.10358,Private room,450,1,1,2021-01-17,0.05,1,0,0,
39009924,Villa Vasby BnB - apartement 1,21639207,Maria,,Östermalms,59.30975,18.17524,Entire home/apt,924,1,4,2022-08-17,1.11,3,55,4,
39030013,"Litet, enkelt sovrum ! Bra läge!",16533093,Anahi,,Södermalms,59.3138,18.08226,Private room,400,1,4,2019-11-12,0.11,2,0,0,
39080306,Spatious 4-room apartment with garden in Stockholm,75777285,Ola,,Enskede-Årsta-Vantörs,59.28303,18.08619,Entire home/apt,1199,5,0,,,1,0,0,
39080621,Queen size bed in cozy townhouse,153253219,Jonas,,Hässelby-Vällingby,59.37762,17.83872,Private room,500,2,21,2022-09-01,0.60,3,170,6,
39101119,Lovely Cozy apartment in central Södermalm,299626908,Henrietta,,Södermalms,59.31662,18.07629,Entire home/apt,1213,2,31,2022-09-07,0.88,3,30,6,
39108204,"Cozy, historical styled appartment with a balcony",17764188,Josian,,Norrmalms,59.348,18.03703,Entire home/apt,969,15,3,2022-06-26,0.22,1,327,2,
39113122,Fin lägenhet med balkong,131344872,Sara,,Norrmalms,59.34043,18.0363,Entire home/apt,1195,4,1,2022-05-28,0.25,1,0,1,
39165791,Mysig rosa lägenhet med balkong!,269570478,Maria,,Hägersten-Liljeholmens,59.3022,17.98569,Entire home/apt,302,3,10,2020-10-01,0.28,1,0,0,
39223500,Spacious apartment in cent. Stockholm w terrace,142234880,Hanna,,Norrmalms,59.34348,18.0455,Entire home/apt,1500,1,5,2022-07-16,0.14,1,268,4,
39226950,2 rooms apartment in Stockholm,17169857,Cecilia,,Farsta,59.27184,18.06551,Entire home/apt,599,3,10,2022-08-13,0.30,1,0,7,
39273071,Roof Top Apartment Old Town,168322755,Ida,,Södermalms,59.32358,18.07178,Entire home/apt,2359,2,171,2022-09-07,4.79,4,305,64,
39355022,Old Town Enjoyable,140912731,Familjen Svensson,,Södermalms,59.32353,18.07299,Entire home/apt,1112,2,92,2022-09-04,2.65,2,289,51,
39360166,Cosy apartment close to Gamla stan and Södermalm,8407648,Christian,,Enskede-Årsta-Vantörs,59.30069,18.04214,Entire home/apt,1000,3,3,2022-08-28,0.09,1,43,2,
39375948,Fräscht boende nära naturen och kommunikationer,245838798,Nadia,,Älvsjö,59.28113,17.97183,Entire home/apt,500,3,2,2021-08-12,0.06,1,76,0,
39377924,Designer Studio in Charming Neighbourhood,60382478,Elias,,Södermalms,59.31643,18.06509,Entire home/apt,996,3,99,2022-08-29,2.79,38,345,46,
39401407,2-Bedroom Bright Scandinavian Apartment,299991188,Linda,,Skärholmens,59.29283,17.93788,Entire home/apt,1200,3,15,2022-08-15,0.45,1,8,5,
39453408,"Mini hotel with private rooms, room no 11",182380970,Lasse,,Spånga-Tensta,59.39286,17.84608,Private room,326,2,9,2022-02-19,0.27,8,321,2,
39457508,"Mini hotel with private rooms, room no 2",182380970,Lasse,,Spånga-Tensta,59.39296,17.8446,Private room,310,2,9,2022-08-25,0.27,8,176,4,
39465319,Guestroom 20 mins from city and close to nature,10072824,Balazs,,Farsta,59.24423,18.09563,Private room,550,2,21,2022-09-19,3.87,1,132,21,
39484424,City Charmig Apartment i centrala Stockholm,193302573,Maria,,Norrmalms,59.34644,18.03578,Entire home/apt,1490,10,2,2021-02-21,0.06,1,0,0,
39493124,House with nice terrace close to Stockholm,301773129,Lars,,Rinkeby-Tensta,59.41731,17.94841,Entire home/apt,1500,2,0,,,1,9,0,
39520267,"Rum att trivas i, Feel at home",253161363,Raymond,,Södermalms,59.31152,18.06543,Entire home/apt,736,1,26,2022-09-12,0.74,1,315,15,
39546291,Elegant and cosy apartment at Kungsholmen.,303807422,Lisbeth,,Kungsholmens,59.33405,18.03354,Entire home/apt,1350,2,96,2022-09-19,2.76,1,208,50,
39566563,A calm place 15 minutes from city center,4922871,Natali,,Farsta,59.22834,18.13604,Private room,260,2,60,2022-09-09,1.75,1,21,28,
39595993,# 10 Studiolägenhet utan fönster(no window),8098890,Robin,,Kungsholmens,59.3325,18.02571,Entire home/apt,855,2,100,2022-09-20,2.84,20,352,40,
39598914,# 13 Studiolägenhet utan fönster(no window),8098890,Robin,,Kungsholmens,59.33252,18.024,Entire home/apt,850,2,115,2022-09-21,3.32,20,346,45,
39601915,Big private apartment 20 min from Stockholm C,289047920,Fernanda,,Skärholmens,59.29069,17.93514,Entire home/apt,3359,7,1,2019-11-08,0.03,1,83,0,
39634085,Top room in modern flat,13888729,Noe,,Bromma,59.3458,17.96529,Private room,450,1,6,2022-08-25,0.17,1,111,2,
